TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.39020,  DATAPACKING = POINT
   0.00000     0.00000    -0.00001     0.00000     0.00000       8     8     0
   0.00796     0.00000    -0.00000     0.00001     0.00000       8     8     0
   0.04099     0.00000    -0.00000     0.00009     0.00000       8     8     0
   0.09666     0.00000    -0.00000     0.00006     0.00000       8     8     0
   0.16894     0.00000    -0.00001    -0.00003     0.00001       8     8     0
   0.25000     0.00000    -0.00001     0.00002     0.00001       8     8     0
   0.33106     0.00000     0.00000    -0.00002    -0.00000       8     8     0
   0.40334     0.00000     0.00002     0.00003    -0.00002       8     8     0
   0.45901     0.00000     0.00002     0.00002    -0.00002       8     8     0
   0.49204     0.00000     0.00000    -0.00002    -0.00000       8     8     0
   0.50000     0.00000    -0.00001     0.00000     0.00001       8     8     0
   0.00000     0.00796    -0.00000     0.00000     0.00001       8     8     0
   0.00796     0.00796    -0.00000    -0.00000    -0.00000       8     8     0
   0.04099     0.00796    -0.00000     0.00003    -0.00001       8     8     0
   0.09666     0.00796    -0.00000     0.00002     0.00002       8     8     0
   0.16894     0.00796    -0.00001    -0.00002     0.00000       8     8     0
   0.25000     0.00796    -0.00001     0.00002     0.00001       8     8     0
   0.33106     0.00796    -0.00000    -0.00002     0.00000       8     8     0
   0.40334     0.00796     0.00002     0.00002    -0.00003       8     8     0
   0.45901     0.00796     0.00003     0.00002    -0.00001       8     8     0
   0.49204     0.00796     0.00001    -0.00001    -0.00002       8     8     0
   0.50000     0.00796     0.00000     0.00001    -0.00003       8     8     0
   0.00000     0.04099    -0.00000     0.00000     0.00009       8     8     0
   0.00796     0.04099    -0.00000    -0.00001     0.00003       8     8     0
   0.04099     0.04099    -0.00000    -0.00002    -0.00002       8     8     0
   0.09666     0.04099    -0.00000    -0.00002     0.00002       8     8     0
   0.16894     0.04099    -0.00000    -0.00000    -0.00001       8     8     0
   0.25000     0.04099    -0.00001     0.00000     0.00001       8     8     0
   0.33106     0.04099    -0.00002    -0.00001     0.00002       8     8     0
   0.40334     0.04099     0.00000    -0.00000    -0.00003       8     8     0
   0.45901     0.04099     0.00003     0.00002     0.00000       8     8     0
   0.49204     0.04099     0.00004     0.00002    -0.00005       8     8     0
   0.50000     0.04099     0.00003     0.00002    -0.00009       8     8     0
   0.00000     0.09666    -0.00000     0.00000     0.00006       8     8     0
   0.00796     0.09666    -0.00000     0.00002     0.00002       8     8     0
   0.04099     0.09666    -0.00000     0.00002    -0.00002       8     8     0
   0.09666     0.09666     0.00001     0.00001     0.00001       8     8     0
   0.16894     0.09666     0.00000     0.00001    -0.00001       8     8     0
